Date,Open,High,Low,Close
11/25/1985,200.35,201.48,200.1,200.35
11/26/1985,200.67,201.05,200.17,200.67
11/27/1985,202.54,202.54,200.79,202.54
11/29/1985,202.17,203.3,201.92,202.17
12/02/85,200.46,202.09,200.21,200.46
12/03/85,200.86,200.86,200.11,200.86
12/04/85,204.23,204.23,200.98,204.23
12/05/85,203.88,205.76,203.88,203.88
12/06/85,202.99,203.87,202.49,202.99
12/09/85,204.25,204.25,203,204.25
12/10/85,204.39,205.14,203.77,204.39
12/11/85,206.31,206.56,204.19,206.31
12/12/85,206.73,207.61,205.86,206.73
12/13/1985,209.94,210.19,206.82,209.94
12/16/1985,212.02,213.02,210.02,212.02
12/17/1985,210.65,212.4,210.65,210.65
12/18/1985,209.81,211.19,209.31,209.81
12/19/1985,210.02,210.02,209.27,210.02
12/20/1985,210.94,211.69,210.07,210.94
12/23/1985,208.57,210.82,208.45,208.57
12/24/1985,207.14,208.52,206.52,207.14
12/26/1985,207.65,207.65,207.15,207.65
12/27/1985,209.61,209.61,207.74,209.61
12/30/1985,210.68,210.68,209.18,210.68
12/31/1985,211.28,211.66,210.78,211.28
01/02/86,209.59,211.22,208.97,209.59
01/03/86,210.88,210.88,209.63,210.88
01/06/86,210.65,210.9,210.03,210.65
01/07/86,213.8,213.8,210.68,213.8
01/08/86,207.97,214.47,207.6,207.97
01/09/86,206.11,207.86,204.61,206.11
01/10/86,205.96,207.21,205.59,205.96
01/13/1986,206.72,206.72,205.6,206.72
01/14/1986,206.64,207.27,206.14,206.64
01/15/1986,208.26,208.26,206.76,208.26
01/16/1986,209.17,209.17,207.67,209.17
01/17/1986,208.43,209.31,207.68,208.43
01/20/1986,207.53,208.41,206.66,207.53
01/21/1986,205.79,207.67,205.17,205.79
01/22/1986,203.49,205.99,203.49,203.49
01/23/1986,204.25,204.38,202.63,204.25
01/24/1986,206.43,206.43,204.31,206.43
01/27/1986,207.39,207.64,206.52,207.39
01/28/1986,209.81,209.81,207.44,209.81
01/29/1986,210.29,212.29,209.92,210.29
01/30/1986,209.33,211.46,209.21,209.33
01/31/1986,211.78,212.41,209.28,211.78
02/03/86,213.96,214.09,211.71,213.96
02/04/86,212.79,214.54,210.92,212.79
02/05/86,212.96,212.96,211.21,212.96
02/06/86,213.47,214.1,212.72,213.47
02/07/86,214.56,215.19,211.19,214.56
02/10/86,216.24,216.24,214.49,216.24
02/11/86,215.92,216.67,215.55,215.92
02/12/86,215.97,216.22,215.22,215.97
02/13/1986,217.4,217.4,215.4,217.4
02/14/1986,219.76,219.76,217.26,219.76
02/18/1986,222.45,222.45,219.33,222.45
02/19/1986,219.76,222.89,219.76,219.76
02/20/1986,222.22,222.22,219.22,222.22
02/21/1986,224.62,224.62,222.25,224.62
02/24/1986,224.34,225.22,223.34,224.34
02/25/1986,223.79,224.29,222.67,223.79
02/26/1986,224.04,224.54,223.17,224.04
02/27/1986,226.77,226.77,223.52,226.77
02/28/1986,226.92,227.92,225.42,226.92
03/03/86,225.42,226.92,224.42,225.42
03/04/86,224.38,227.26,224.01,224.38
03/05/86,224.34,224.34,222.22,224.34
03/06/86,225.13,225.38,224.13,225.13
03/07/86,225.57,226.32,224.45,225.57
03/10/86,226.58,226.96,225.46,226.58
03/11/86,231.69,231.69,226.69,231.69
03/12/86,232.51,234.67,231.79,232.51
03/13/1986,233.19,233.82,231.32,233.19
03/14/1986,236.55,236.55,232.68,236.55
03/17/1986,234.67,236.55,233.8,234.67
03/18/1986,235.78,236.53,234.16,235.78
03/19/1986,235.6,236.48,235.23,235.6
03/20/1986,236.54,237.04,235.67,236.54
03/21/1986,233.34,237.34,233.34,233.34
03/24/1986,235.33,235.33,232.96,235.33
03/25/1986,234.72,235.22,233.72,234.72
03/26/1986,237.3,237.68,234.8,237.3
03/27/1986,238.97,240.1,237.35,238.97
03/31/1986,238.9,239.78,238.15,238.9
04/01/86,235.14,239.02,234.64,235.14
04/02/86,235.71,235.71,233.46,235.71
04/03/86,232.47,236.35,232.1,232.47
04/04/86,228.69,232.44,228.44,228.69
04/07/86,228.63,228.76,226.38,228.63
04/08/86,233.52,233.65,228.65,233.52
04/09/86,233.75,235.5,232.25,233.75
04/10/86,236.44,236.44,233.82,236.44
04/11/86,235.97,237.85,235.22,235.97
04/14/1986,237.28,237.41,235.53,237.28
04/15/1986,237.73,237.98,236.73,237.73
04/16/1986,242.22,242.47,237.85,242.22
04/17/1986,243.03,243.28,241.91,243.03
04/18/1986,242.38,243.38,241.76,242.38
04/21/1986,244.74,244.74,241.99,244.74
04/22/1986,242.42,245.42,241.42,242.42
04/23/1986,241.75,242.38,240.13,241.75
04/24/1986,242.02,243.02,241.77,242.02
04/25/1986,242.29,242.79,240.92,242.29
04/28/1986,243.08,243.08,241.33,243.08
04/29/1986,240.51,243.51,239.26,240.51
04/30/1986,235.52,240.52,235.27,235.52
05/01/86,235.16,235.91,234.29,235.16
05/02/86,234.79,236.42,234.17,234.79
05/05/86,237.73,237.73,234.86,237.73
05/06/86,237.24,238.24,236.24,237.24
05/07/86,236.08,237.21,234.08,236.08
05/08/86,237.13,237.88,236.13,237.13
05/09/86,237.85,237.98,235.85,237.85
05/12/86,237.58,238.46,237.08,237.58
05/13/1986,236.41,237.79,236.04,236.41
05/14/1986,237.54,237.54,235.92,237.54
05/15/1986,234.43,237.43,233.93,234.43
05/16/1986,232.76,234.39,232.26,232.76
05/19/1986,233.2,233.45,232.45,233.2
05/20/1986,236.11,236.11,232.61,236.11
05/21/1986,235.45,236.83,235.45,235.45
05/22/1986,240.12,240.25,235.5,240.12
05/23/1986,241.35,242.1,240.23,241.35
05/27/1986,244.75,244.75,241.38,244.75
05/28/1986,246.63,247.38,244.76,246.63
05/29/1986,247.98,248.23,245.36,247.98
05/30/1986,247.35,249.1,246.48,247.35
06/02/86,245.04,247.67,243.92,245.04
06/03/86,245.51,245.51,243.76,245.51
06/04/86,243.94,246.19,242.69,243.94
06/05/86,245.65,245.65,243.53,245.65
